	English	Arabic	time/m.s
10	"All these things, and a thousand like them, came to pass in and close upon the dear old year one thousand seven hundred and seventy-five. Environed by them, while the Woodman and the Farmer worked unheeded, those two of the large jaws, and those other two of the plain and the fair faces, trod with stir enough, and carried their divine rights with a high hand. Thus did the year one thousand seven hundred and seventy-five conduct their Greatnesses, and myriads of small creatures–the creatures of this chronicle among the rest–along the roads that lay before them.
"	[{'translation_text': 'كل هذه وألف مثلهم قد دخلت واقتربت على الوليمة سنة الف الف الف وسبع مئة وخمسة وسبعون. ملقاة بها. بينما كان الحوت والفلاح يعملان غير مهذبين. هذين الفكين الكبيرين والاثنان الآخران من السهل والوجهين المستقيمين تدحرجا بما فيه الكفاية وحملا حقوقهما الالهية بيد عالية. هكذا سلكت السنة الف الف الف وسبع مئة وخمس وسبعون عظمتهما وكثرات من الصغار'}]	2.96
11	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
12	"II
"	[{'translation_text': 'ثانيا'}]	0.2
13	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
14	"The Mail
"	[{'translation_text': 'الـ بريد'}]	0.28
15	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
16	"It was the Dover road that lay, on a Friday night late in November, before the first of the persons with whom this history has business. The Dover road lay, as to him, beyond the Dover mail, as it lumbered up Shooter’s Hill. He walked up hill in the mire by the side of the mail, as the rest of the passengers did; not because they had the least relish for walking exercise, under the circumstances, but because the hill, and the harness, and the mud, and the mail, were all so heavy, that the horses had three times already come to a stop, besides once drawing the coach across the road, with the mutinous intent of taking it back to Blackheath. Reins and whip and coachman and guard, however, in combination, had read that article of war which forbade a purpose otherwise strongly in favour of the argument, that some brute animals are endued with Reason; and the team had capitulated and returned to their duty.
"	[{'translation_text': 'كان طريق دوفر هو الذي وضع، في ليلة الجمعة في أواخر تشرين الثاني/نوفمبر، قبل أول الأشخاص الذين يتعامل معهم هذا التاريخ. وكان طريق دوفر يقع، بالنسبة له، خارج بريد دوفر، بينما كان يتعثر في تل مطلق النار. وكان قد سار على التل في الغميضة بجانب البريد، كما فعل بقية الركاب؛ ليس لأنهم كان لديهم أقل ما يستمتعون به لممارسة المشي، في ظل الظروف الحالية، ولكن لأن التل، والأداة، والطين، والبريد، كانت جميعها ثقيلة جداً، لدرجة أن الخيول كانت قد توقفت ثلاث مرات بالفعل، إلى جانب رسمها للمدرب مرة عبر الطريق، مع النية العتيدة لإعادته إلى بلاكهته. ولكن الرنين والجلد والمدرب والحراسة، ومع ذلك، قد قرأا معاً مقال الحرب الذي منع غرضاً من تحقيق غرض كان، بأي حال من الأحوال، مؤيداً بشدة للمجادلة، أن بعض الحيوانات الهائجة قد انتهت بالعقل؛ وكان الفريق قد انسحب وعاد إلى وظيفته.'}]	6.5
17	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.26
18	"With drooping heads and tremulous tails, they mashed their way through the thick mud, floundering and stumbling between whiles, as if they were falling to pieces at the larger joints. As often as the driver rested them and brought them to a stand, with a wary “Wo-ho! so-ho- then!” the near leader violently shook his head and everything upon it–like an unusually emphatic horse, denying that the coach could be got up the hill. Whenever the leader made this rattle, the passenger started, as a nervous passenger might, and was disturbed in mind.
"	"[{'translation_text': 'ومع تداعي رؤوسهم وذيولهم المهتزة، كانوا يشقون طريقهم عبر الطين الكثيف، ويتعثرون ويتعثرون بين فترة وأخرى، وكأنهم يتساقطون إلى أجزاء في المفاصل الأكبر حجماً. وكلما كان السائق يستريح لهم ويحضرهم إلى منصة، مع تحذير ""وو هوو! إذن!"" فإن الزعيم القريب هز رأسه بكل ما على رأسه بعنف، وكل شيء عليه ـ مثل حصان متطرف غير عادي، محرماً من أن يكون المدرب قادراً على الصعود إلى أعلى التل. وكلما قام الزعيم بهذه الهزة، بدأ الراكب، كما قد يكون الراكب العصبي، وكان منزعجاً في ذهنه.'}]"	4.56
19	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
20	"There was a steaming mist in all the hollows, and it had roamed in its forlornness up the hill, like an evil spirit, seeking rest and finding none. A clammy and intensely cold mist, it made its slow way through the air in ripples that visibly followed and overspread one another, as the waves of an unwholesome sea might do. It was dense enough to shut out everything from the light of the coach-lamps but these its own workings, and a few yards of road; and the reek of the labouring horses steamed into it, as if they had made it all.
"	[{'translation_text': 'وكان هناك ضباب مُبخر في كل الاجوة وقد تَجَلَّت في فضحتها فوق التلّ كروح شريرة تطلب الراحة ولا تجد شيئاً. ضباب مُهَدِم وبارد جداً جعل طريقه بطيئاً في الهواء بموجات تتبع وتُوسِّع بشكل واضح بعضها البعض كما قد تفعل موجات بحر غير طاهر. كان كثيفاً بما فيه الكفاية لإغلاق كل شيء من نور المُلَفِّين ولكن هذه اعماله وايادين قليلة من الطريق وثمار الخيل المجهدة تُبخر فيه كما لو كانوا قد صنعوها جميعاً.'}]	4.15
21	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.29
22	"Two other passengers, besides the one, were plodding up the hill by the side of the mail. All three were wrapped to the cheekbones and over the ears, and wore jack-boots. Not one of the three could have said, from anything he saw, what either of the other two was like; and each was hidden under almost as many wrappers from the eyes of the mind, as from the eyes of the body, of his two companions. In those days, travellers were very shy of being confidential on a short notice, for anybody on the road might be a robber or in league with robbers. As to the latter, when every posting-house and ale-house could produce somebody in “the Captain’s” pay, ranging from the landlord to the lowest stable non-descript, it was the likeliest thing upon the cards. So the guard of the Dover mail thought to himself, that Friday night in November, one thousand seven hundred and seventy-five, lumbering up Shooter’s Hill, as he stood on his own particular perch behind the mail, beating his feet, and keeping an eye and a hand on the arm-chest before him, where a loaded blunderbuss lay at the top of six or eight loaded horse-pistols, deposited on a substratum of cutlass.
"	"[{'translation_text': 'وفي هذه الأيام، كان المسافرون يخجلون كثيراً من أن تكون سرياً في غضون مهلة قصيرة، لأن أي شخص على الطريق قد يكون سارقاً أو متحالفاً مع لصوص. أما بالنسبة للآخر، فعندما يكون بوسع كل من دار النشر والمنزل أن ينتج شخصاً ما في أجر ""الكابن"" الذي يتراوح بين مالك العقار وأقل شيء ثابت غير مصنف، فقد كان ذلك هو الشيء الأكثر شبهاً على البطاقات. وعلى هذا فإن حارس بريد دوفر كان يفكر في نفسه، وفي ليلة الجمعة في نوفمبر/تشرين الثاني، فإن ألف وسبعمائة وخمس وسبعين أخماس، وهو ينتج تلة مطلق النار، كما كان يقف على مكانه الخاص، حيث كان يقف على قيد نظره الخاص خلف البريد، ويضرب قدميه، ويحافظ على عيناه، ويحتفظ بالعين واليد على ثمانية.'}]"	8.78
23	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.3
24	"The Dover mail was in its usual genial position that the guard suspected the passengers, the passengers suspected one another and the guard, they all suspected everybody else, and the coachman was sure of nothing but the horses; as to which cattle he could with a clear conscience have taken his oath on the two Testaments that they were not fit for the journey.
"	[{'translation_text': 'وكان بريد دوفر في موقفه الطبيعي المعتاد بأن الحارس اشتبه في الركاب، واشتبه الركاب بعضهم ببعض والحارس، وكلهم اشتبهوا في كل شخص آخر، وكان المدرب على يقين من أي شيء سوى الخيول؛ وفيما يتعلق بالماشية التي كان يستطيع أن يفعلها بضمير واضح، أقسم اليمين على العهدين بأنهما لم يكونا مناسبين للرحلة.'}]	2.43
25	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
26	"“Wo-ho!” said the coachman. “So, then! One more pull and you’re at the top and be damned to you, for I have had trouble enough to get you to it!–Joe!”
"	"[{'translation_text': 'قال المدرب ""Wo-ho!"" إذاً، ""سحبة واحدة أخرى وأنت على القمة وتلعن فيك، لأنني واجهت صعوبة كافية لأوصلك إليها!"" - ""جو!""'}]"	1.36
27	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
28	"“Halloa!” the guard replied.
"	"[{'translation_text': 'ورد الحارس قائلا "" هالوا! "" .'}]"	0.41
29	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
30	"“What o’clock do you make it, Joe?”
"	"[{'translation_text': '"" ما هي الساعة التي تجعلها، جو؟ ""'}]"	0.44
31	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
32	"“Ten minutes, good, past eleven.”
"	"[{'translation_text': '""عشر دقائق، جيدة، ماضية أحد عشر"".'}]"	0.45
33	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
34	"“My blood!” ejaculated the vexed coachman, “and not atop of Shooter’s yet! Tst! Yah! Get on with you!”
"	"[{'translation_text': '""دمي!"" قذف المدرب المهتاج، ""وليس قمة مطلق النار بعد! ""'}]"	0.74
35	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
36	"The emphatic horse, cut short by the whip in a most decided negative, made a decided scramble for it, and the three other horses followed suit. Once more, the Dover mail struggled on, with the jack-boots of its passengers squashing along by its side. They had stopped when the coach stopped, and they kept close company with it. If any one of the three had had the hardihood to propose to another to walk on a little ahead into the mist and darkness, he would have put himself in a fair way of getting shot instantly as a highwayman.
"	[{'translation_text': 'والحصان المتطرف، الذي قطعه السوط بسلبية مقررة للغاية، قرر أن يضغط عليه، والخيل الثلاثة الأخرى تلته. ومرة أخرى، قاوم بريد دوفر، بحذاء من ركابه يسحقون بجانبه. وتوقفوا عند توقف العربة، وبقيوا على علاقة وثيقة معها. ولو كان أي من الثلاثة قد حازص على أن يقترح على شخص آخر أن يسير قدماً قليلاً إلى الضباب والظلام، لكان وضع نفسه في طريق عادل لإطلاق النار عليه على الفور كرجل طريق سريع.'}]	3.35
37	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
38	"The last burst carried the mail to the summit of the hill. The horses stopped to breathe again, and the guard got down to skid the wheel for the descent, and open the coach-door to let the passengers in.
"	[{'translation_text': 'وتوقف الخيل عن التنفس مرة أخرى، ونزل الحارس إلى أسفل لتنزلق عجلة الهبوط، وفتح باب المدرب للسماح للمسافرين بالدخول.'}]	0.96
39	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
40	"“Tst! Joe!” cried the coachman in a warning voice, looking down from his box.
"	"[{'translation_text': '""Tst! جو!"" صرخ المدرب في صوت تحذير، ينظر إلى أسفل من صندوقه.'}]"	0.72
41	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
42	"“What do you say, Tom?”
"	"[{'translation_text': '""ماذا تقول يا توم؟""'}]"	0.27
43	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
44	"They both listened.
"	[{'translation_text': 'لقد كانا يستمعان لكليهما'}]	0.31
45	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
46	"“I say a horse at a canter coming up, Joe.”
"	"[{'translation_text': '""أنا أقول حصاناً عند مشعل قادماً، جو"".'}]"	0.62
47	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.29
48	"“_I_ say a horse at a gallop, Tom,” returned the guard, leaving his hold of the door, and mounting nimbly to his place. “Gentlemen! In the kings name, all of you!”
"	"[{'translation_text': '""____ أقول حصاناً عند جرّة، توم،"" ردّ الحارس، ترك قبضته من الباب، وامتدّ إلى مكانه. ""أيها السادة! باسم الملوك، جميعكم!""'}]"	1.53
49	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
50	"With this hurried adjuration, he cocked his blunderbuss, and stood on the offensive.
"	[{'translation_text': 'مع هذا الحكم المستعجل، انه ضرب له bunderbuss له، ووقف على الهجوم.'}]	0.7
51	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
52	"The passenger booked by this history, was on the coach-step, getting in; the two other passengers were close behind him, and about to follow. He remained on the step, half in the coach and half out of; they re-mained in the road below him. They all looked from the coachman to the guard, and from the guard to the coachman, and listened. The coachman looked back and the guard looked back, and even the emphatic leader pricked up his ears and looked back, without contradicting.
"	[{'translation_text': 'كان المسافر الذي كان محجوزاً في هذا التاريخ على خطى المراكب، وهو يدخل؛ وكان المسافران الآخران قريبان من خلفه، وكانا على وشك أن يتبعاه. وبقي على الخطوة، نصفه في العربة ونصفه خارجها؛ ثم عادا في الطريق أسفله. فنظروا جميعاً من المدرب إلى الحارس، ومن الحارس إلى الموكب، واستمعوا. فنظر المدرب إلى الخلف ونظر الحارس إلى الخلف، وحتى الزعيم المتملق حاصر أذنيه ونظر إلى الخلف، دون تناقض.'}]	3.44
53	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
54	"The stillness consequent on the cessation of the rumbling and labouring of the coach, added to the stillness of the night, made it very quiet indeed. The panting of the horses communicated a tremulous motion to the coach, as if it were in a state of agitation. The hearts of the passengers beat loud enough perhaps to be heard; but at any rate, the quiet pause was audibly expressive of people out of breath, and holding the breath, and having the pulses quickened by expectation.
"	[{'translation_text': 'إن التعثر الناجم عن توقف هطول وتعب المدرب، إضافة إلى توقف الليل، جعله هادئا جدا بالفعل، حيث أن إيقاع الأحصنة نقل حركة مربكة إلى المدرب، كما لو كان في حالة من الحرج. فقلوب الركاب تدق بصوت عال بما فيه الكفاية ربما لسماعها؛ ولكن على أي حال، كان التوقف الهادئ يعبر عن الناس بشكل مسموع من أنفاسهم، ويحبس أنفاسهم، ويجعل النبضات تتسارع بالتوقع.'}]	2.79
55	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
56	"The sound of a horse at a gallop came fast and furiously up the hill.
"	[{'translation_text': 'صوت حصان في جرّة جاء بسرعة وبغضب فوق التلّ.'}]	0.5
57	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
58	"“So-ho!” the guard sang out, as loud as he could roar. “Yo there! Stand! I shall fire!”
"	"[{'translation_text': '""So-ho!"" رَفعَ الحارسُ، بصوت عال هو كَانَ يُمْكِنُ أَنْ يَرْفعَ. ""أنت هناك! قف! أنا سَأَضْربُ!""'}]"	1.83
59	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
60	"The pace was suddenly checked, and, with much splashing and floundering, a man’s voice called from the mist, “Is that the Dover mail?”
"	[{'translation_text': 'فصارت الوتيرة تُدقَّق فجأة ، ومع الكثير من الرذاذ والخمول ، نادى صوت رجل من الضباب : « هل هذا بريد دوفر ؟ » .'}]	1.25
61	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
62	"“Never you mind what it is!” the guard retorted. “What are you?”
"	"[{'translation_text': '""لا تبالي بما هو عليه!"" رد الحارس رد الفعل. ""ما أنت؟""'}]"	0.65
63	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.24
64	"“IS that the Dover mail?”
"	"[{'translation_text': '""هل هو أن بريد دوفر؟""'}]"	0.37
65	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.29
66	"“Why do you want to know?”
"	[{'translation_text': '“لماذا تريد أن تعرف؟”'}]	0.31
67	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
68	"“I want a passenger, if it is.”
"	"[{'translation_text': '""أريد راكباً، إذا كان كذلك"".'}]"	0.41
69	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
70	"“What passenger?”
"	"[{'translation_text': '""ما هو الراكب؟""'}]"	0.34
71	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
72	"“Mr. Jarvis Lorry.”
"	[{'translation_text': '“السيد جارفيس لوري”.'}]	0.31
73	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.26
74	"Our booked passenger showed in a moment that it was his name. The guard, the coachman, and the two other passengers eyed him distrustfully.
"	[{'translation_text': 'فَقَدْ أَظْهَرَ مُرَاقِبُنَا ٱلْمُحَجَّزُونَ أَنَّهُ ٱسْمُهُ .'}]	3.45
75	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
76	"“Keep where you are,” the guard called to the voice in the mist, “because, if I should make a mistake, it could never be set right in your lifetime. Gentleman of the name of Lorry answer straight.”
"	"[{'translation_text': '""احتفظوا بمكانكم"" دعا الحارس إلى الصوت في الضباب، ""لأنه إذا ارتكبت خطأ، فلا يمكن إصلاحه أبداً في حياتكم.'}]"	1.24
77	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
78	"“What is the matter?” asked the passenger, then, with mildly quavering speech. “Who wants me? Is it Jerry?”
"	"[{'translation_text': 'ثم سأل الراكب ""ما هي المسألة؟"" بكلمة هزيلة إلى حد ما: ""من يريدني؟ هل هو جيري؟""'}]"	0.77
79	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
80	"(“I don’t like Jerry’s voice, if it is Jerry,” growled the guard to himself. “He’s hoarser than suits me, is Jerry.”)
"	"[{'translation_text': '(""أنا لا أحب صوت جيري، إذا كان جيري،"") هز الحارس لنفسه. ""إنه أروع مما يناسبني، هو جيري."").'}]"	0.89
81	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
82	"“Yes, Mr. Lorry.”
"	"[{'translation_text': '""نعم، السيد لوري"".'}]"	0.28
83	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
84	"“What is the matter?”
"	"[{'translation_text': '""ما المسألة؟""'}]"	0.19
85	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
86	"“A despatch sent after you from over yonder. T. and Co.”
"	"[{'translation_text': '""مرفوع أُرسِلَ خلفك من أعلى من هناك. T. and Co. ""'}]"	0.71
87	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
88	"“I know this messenger, guard,” said Mr. Lorry, getting down into the road–assisted from behind more swiftly than politely by the other two passengers, who immediately scrambled into the coach, shut the door, and pulled up the window. “He may come close; there’s nothing wrong.”
"	"[{'translation_text': 'قال السيد لوري: ""أنا أعرف هذا الرسول، الحارس""، وهو ينزل إلى الطريق - يساعده من الخلف بسرعة أكثر من مهذبة المسافران الآخران، اللذان اصطدما على الفور بالمدرب، وأغلقا الباب، وسحبا النافذة. ""ربما يقترب؛ فلا يوجد خطأ"".'}]"	2.0
89	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
90	"“I hope there ain’t, but I can’t make so ‘Nation sure of that,” said the guard, in gruff soliloquy. “Hallo you!”
"	"[{'translation_text': '""آمل أن لا يكون هناك شيء، ولكن لا يمكنني أن أحرص على ذلك،"" قال الحارس، ""هلا بكم!""'}]"	1.69
91	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.29
92	"“Well! And hallo you!” said Jerry, more hoarsely than before.
"	"[{'translation_text': '""حسنا! ومرحبا بك!"" قال جيري، أكثر فظاعة من ذي قبل.'}]"	0.69
